SELECT     COD_OS, STATUS_OS, STATUS, COD_RESPONSAVEL, TIPO_OS, DATA_ENTRADA, HORA_ENTRADA, DATA_TERMINO, HORA_TERMINO, COD_FUNCIONARIO, COD_CLIENTE, SUBTOTAL, TIPO_DESC, VALOR_DESC, TOTAL, TIPO_PAGAMENTO, PAGAMENTO, ValorDescReal, COD_PEDIDO, 
                  OBS, ENTRADA
FROM        OS
Dados:
197	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	R	NULL	NULL	NULL	NULL	NULL	338	NULL	0,00
200	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	R	NULL	NULL	NULL	NULL	NULL	344	NULL	0,00
211	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	R	NULL	NULL	NULL	NULL	NULL	368	NULL	0,00
229	1	TERMINADO	2	CONSERTO	2026-01-28 00:00:00.000	1900-01-01 09:58:00.000	2026-04-14 00:00:00.000	1900-01-01 00:00:00.000	2	7	3161,99	R	0,00	3161,99	À Prazo	PROMISSORIA	0,00	405		0,00
247	1	TERMINADO	3	CONSERTO	2026-02-06 00:00:00.000	1900-01-01 09:58:00.000	2026-03-04 00:00:00.000	1900-01-01 00:00:00.000	2	62	1105,00	R	0,00	1105,00	À Prazo	PROMISSORIA	0,00	440		0,00
254	1	TERMINADO	3	CONSERTO	2026-02-10 00:00:00.000	1900-01-01 09:45:00.000	2026-04-14 00:00:00.000	1900-01-01 00:00:00.000	2	7	3102,00	R	0,00	3102,00	À Prazo	PROMISSORIA	0,00	457		0,00
256	1	TERMINADO	2	CONSERTO	2026-02-10 00:00:00.000	1900-01-01 14:25:00.000	2026-04-13 00:00:00.000	1900-01-01 00:00:00.000	3	55	540,81	R	0,00	540,81	À Prazo	PROMISSORIA	0,00	460		0,00
258	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	R	NULL	NULL	NULL	NULL	NULL	467	NULL	0,00
268	1	TERMINADO	2	CONSERTO	2026-02-16 00:00:00.000	1900-01-01 17:26:00.000	2026-03-30 00:00:00.000	1900-01-01 00:00:00.000	2	90	2227,01	R	0,00	2227,01	À Prazo	PROMISSORIA	0,00	491		0,00
271	1	TERMINADO	2	CONSERTO	2026-02-18 00:00:00.000	1900-01-01 07:51:00.000	2026-04-14 00:00:00.000	1900-01-01 00:00:00.000	2	7	3131,01	R	0,00	3131,01	À Prazo	PROMISSORIA	0,00	501		0,00
274	1	TERMINADO	3	CONSERTO	2026-02-20 00:00:00.000	1900-01-01 09:20:00.000	2026-02-26 00:00:00.000	1900-01-01 00:00:00.000	3	92	6299,25	R	0,00	6299,25	À Vista	1 - FORMA	0,00	516		0,00
282	1	TERMINADO	2	CONSERTO	2026-02-24 00:00:00.000	1900-01-01 13:20:00.000	2026-02-26 00:00:00.000	1900-01-01 00:00:00.000	2	95	2500,00	R	0,00	2500,00	À Vista	1 - FORMA	0,00	534		0,00
284	1	TERMINADO	2	CONSERTO	2026-02-26 00:00:00.000	1900-01-01 10:27:00.000	2026-04-02 00:00:00.000	1900-01-01 00:00:00.000	2	7	1705,00	R	0,00	1705,00	À Prazo	PROMISSORIA	0,00	536		0,00
285	1	TERMINADO	3	CONSERTO	2026-02-26 00:00:00.000	1900-01-01 14:09:00.000	2026-04-06 00:00:00.000	1900-01-01 00:00:00.000	3	28	2800,00	R	0,00	2800,00	À Prazo	PROMISSORIA	0,00	537		0,00
286	1	TERMINADO	2	CONSERTO	2026-02-26 00:00:00.000	1900-01-01 16:23:00.000	2026-02-27 00:00:00.000	1900-01-01 00:00:00.000	2	8	1800,00	R	0,00	1800,00	À Prazo	PROMISSORIA	0,00	541		0,00
287	1	TERMINADO	2	CONSERTO	2026-02-27 00:00:00.000	1900-01-01 14:07:00.000	2026-03-14 00:00:00.000	1900-01-01 00:00:00.000	2	1	3289,98	R	0,00	3289,98	À Vista	1 - FORMA	0,00	543		0,00
290	1	TERMINADO	3	CONSERTO	2026-03-02 00:00:00.000	1900-01-01 09:59:00.000	2026-04-10 00:00:00.000	1900-01-01 00:00:00.000	2	110	4462,97	R	0,00	4462,97	À Prazo	PROMISSORIA	0,00	548		0,00
291	1	TERMINADO	2	CONSERTO	2026-03-02 00:00:00.000	1900-01-01 10:40:00.000	2026-03-03 00:00:00.000	1900-01-01 00:00:00.000	2	5	1490,00	R	0,00	1490,00	À Prazo	PROMISSORIA	0,00	549		0,00
292	1	TERMINADO	2	CONSERTO	2026-03-02 00:00:00.000	1900-01-01 16:23:00.000	2026-04-02 00:00:00.000	1900-01-01 00:00:00.000	2	97	340,00	R	0,00	340,00	À Vista	1 - FORMA	0,00	550		0,00
293	1	TERMINADO	2	CONSERTO	2025-11-05 00:00:00.000	1900-01-01 08:22:00.000	2026-04-02 00:00:00.000	1900-01-01 00:00:00.000	2	62	1040,00	R	0,00	1040,00	À Prazo	PROMISSORIA	0,00	551		0,00
294	1	TERMINADO	2	CONSERTO	2025-10-27 00:00:00.000	1900-01-01 09:51:00.000	2026-04-02 00:00:00.000	1900-01-01 00:00:00.000	2	62	1755,00	R	0,00	1755,00	À Prazo	PROMISSORIA	0,00	552		0,00
295	1	TERMINADO	2	CONSERTO	2026-03-03 00:00:00.000	1900-01-01 11:24:00.000	2026-04-02 00:00:00.000	1900-01-01 00:00:00.000	2	62	280,00	R	0,00	280,00	À Prazo	PROMISSORIA	0,00	553		0,00
296	1	TERMINADO	2	CONSERTO	2026-03-03 00:00:00.000	1900-01-01 14:51:00.000	2026-04-02 00:00:00.000	1900-01-01 00:00:00.000	2	62	600,00	R	0,00	600,00	À Prazo	PROMISSORIA	0,00	554		0,00
297	1	TERMINADO	3	CONSERTO	2026-03-04 00:00:00.000	1900-01-01 10:40:00.000	2026-03-05 00:00:00.000	1900-01-01 00:00:00.000	2	1	855,02	R	0,00	855,02	À Vista	1 - FORMA	0,00	555		0,00
298	1	TERMINADO	2	CONSERTO	2026-03-04 00:00:00.000	1900-01-01 14:02:00.000	2026-03-06 00:00:00.000	1900-01-01 00:00:00.000	2	36	223,01	R	0,00	223,01	À Vista	1 - FORMA	0,00	556		0,00
299	1	TERMINADO	2	CONSERTO	2026-03-04 00:00:00.000	1900-01-01 16:46:00.000	2026-04-02 00:00:00.000	1900-01-01 00:00:00.000	2	39	320,00	R	0,00	320,00	À Vista	1 - FORMA	0,00	557		0,00
300	1	TERMINADO	3	CONSERTO	2026-03-04 00:00:00.000	1900-01-01 17:42:00.000	2026-03-05 00:00:00.000	1900-01-01 00:00:00.000	2	5	1490,00	R	0,00	1490,00	À Prazo	PROMISSORIA	0,00	558		0,00
301	1	TERMINADO	2	CONSERTO	2026-03-05 00:00:00.000	1900-01-01 10:10:00.000	2026-03-09 00:00:00.000	1900-01-01 00:00:00.000	3	5	4800,00	R	0,00	4800,00	À Prazo	PROMISSORIA	0,00	560		0,00
302	1	TERMINADO	2	CONSERTO	2026-03-05 00:00:00.000	1900-01-01 14:23:00.000	2026-03-06 00:00:00.000	1900-01-01 00:00:00.000	3	1	727,55	R	0,00	727,55	À Vista	1 - FORMA	0,00	561		0,00
303	1	TERMINADO	2	CONSERTO	2026-03-05 00:00:00.000	1900-01-01 16:00:00.000	2026-04-02 00:00:00.000	1900-01-01 00:00:00.000	3	8	200,00	R	0,00	200,00	À Prazo	PROMISSORIA	0,00	562		0,00
304	1	TERMINADO	2	CONSERTO	2026-03-05 00:00:00.000	1900-01-01 17:04:00.000	2026-04-02 00:00:00.000	1900-01-01 00:00:00.000	3	84	1280,00	R	0,00	1280,00	À Vista	1 - FORMA	0,00	564		0,00
305	1	TERMINADO	2	CONSERTO	2026-03-06 00:00:00.000	1900-01-01 09:08:00.000	2026-03-06 00:00:00.000	1900-01-01 00:00:00.000	2	39	1219,87	R	0,00	1219,87	À Vista	1 - FORMA	0,00	565		0,00
306	1	TERMINADO	2	CONSERTO	2026-03-06 00:00:00.000	1900-01-01 10:42:00.000	2026-03-13 00:00:00.000	1900-01-01 00:00:00.000	2	62	200,00	R	0,00	200,00	À Prazo	PROMISSORIA	0,00	566		0,00
307	1	TERMINADO	2	CONSERTO	2026-03-06 00:00:00.000	1900-01-01 17:43:00.000	2026-03-09 00:00:00.000	1900-01-01 00:00:00.000	2	5	80,01	R	0,00	80,01	À Prazo	PROMISSORIA	0,00	567		0,00
