SELECT     codigo, cod_os, descricao, preco, quantidade, subtotal, desconto, total, data, cod_servico
FROM        OS_Servicos_Auto
Dados:
89	13	ALINHAMENTO E BALANCIAMENTO 	120,00	1	120,00	0,00	120,00	2024-10-23 00:00:00.000	90
90	13	TROCA DE PNEU 	20,00	4	80,00	0,00	80,00	2024-10-23 00:00:00.000	1
91	13	CAMBAGEM	100,00	1	100,00	0,00	100,00	2024-10-23 00:00:00.000	2
92	13	TROCA DE OLEO COMPLETO	150,00	1	150,00	0,00	150,00	2024-10-23 00:00:00.000	61
93	26	TROCA DE 02 AMORTECEDOR	200,00	1	200,00	0,00	200,00	2024-11-28 00:00:00.000	94
94	27	TROCA PASTILHA DE FREIO-001	100,00	1	100,00	0,00	100,00	2024-12-13 00:00:00.000	101
95	27	TROCA 02 KIT AMORTECEDOR	250,00	1	250,00	0,00	250,00	2024-12-13 00:00:00.000	102
96	27	TROCA DE OLEO E TODOS OS FILTROS -003	200,00	1	200,00	0,00	200,00	2024-12-13 00:00:00.000	32
97	27	TROCA CORREIA DENTADA E TENSOR	250,00	1	250,00	0,00	250,00	2024-12-13 00:00:00.000	103
98	27	LIMPEZA SISTEMA DE ARREFECIMENTO.	180,00	1	180,00	0,00	180,00	2024-12-13 00:00:00.000	104
99	27	TROCA BUCHA DA BALANÇA	220,00	1	220,00	0,00	220,00	2024-12-13 00:00:00.000	105
100	27	TROCA DE 04 BUCHA DA MOLA TRAZEIRA	220,00	1	220,00	0,00	220,00	2024-12-13 00:00:00.000	106
102	27	MOLDURA DA TAMPA TRAZEIRA	280,00	1	280,00	0,00	280,00	2024-12-13 00:00:00.000	108
104	27	PAR FEICHADURA  PORTA DIANTEIRA	950,00	1	950,00	0,00	950,00	2024-12-13 00:00:00.000	110
105	27	TAMPA TRAZEIRA DA CAÇAMBA 	3400,00	1	3400,00	0,00	3400,00	2024-12-13 00:00:00.000	107
106	27	PROTETOR TAMPA TRAZEIRA	370,00	1	370,00	0,00	370,00	2024-12-13 00:00:00.000	109
107	27	SERVIÇO DE FUNILARIA	3800,00	1	3800,00	0,00	3800,00	2024-12-13 00:00:00.000	111
108	28	ALINHAMENTO E BALANCIAMENTO- R.F	170,00	1	170,00	0,00	170,00	2025-01-14 00:00:00.000	19
109	28	TROCA DE OLEO E TODOS OS FILTROS -003	200,00	1	200,00	0,00	200,00	2025-01-14 00:00:00.000	32
110	28	TROCA DE 02 CILINDRO DA RODA TRAZEIRA	80,00	1	80,00	0,00	80,00	2025-01-14 00:00:00.000	112
111	28	TROCA SAPATA DE FREIO	200,00	1	200,00	0,00	200,00	2025-01-14 00:00:00.000	15
112	28	TROCA PASTILHA DE FREIO-001	100,00	1	100,00	0,00	100,00	2025-01-14 00:00:00.000	101
113	29	TROCA DE 02 BALANCAS	180,00	1	180,00	0,00	180,00	2025-01-17 00:00:00.000	113
114	29	TROCA DE 04 BIELETAS	100,00	1	100,00	0,00	100,00	2025-01-17 00:00:00.000	114
115	29	TROCA BARRA AXIAL E TERMINAL DE DIREÇÃO	100,00	1	100,00	0,00	100,00	2025-01-17 00:00:00.000	115
116	29	TROCA 02  AMORTECEDOR DIANTEIRO 	220,00	1	220,00	0,00	220,00	2025-01-17 00:00:00.000	116
117	29	TROCA PASTILHA DE FREIO	100,00	1	100,00	0,00	100,00	2025-01-17 00:00:00.000	35
118	29	TROCA DE OLEO E TODOS OS FILTROS -002	150,00	1	150,00	0,00	150,00	2025-01-17 00:00:00.000	6
119	29	SERVIÇO DE INJECAO	350,00	1	350,00	0,00	350,00	2025-01-17 00:00:00.000	118
120	29	LIMPEZA DE BICO	120,00	1	120,00	0,00	120,00	2025-01-17 00:00:00.000	119
121	29	TROCA SAPATA DE FREIO	200,00	1	200,00	0,00	200,00	2025-01-17 00:00:00.000	15
122	29	ALINHAMENTO	50,00	1	50,00	0,00	50,00	2025-01-17 00:00:00.000	54
123	29	TROCA CORREIA DO ALTERNADOR	50,00	1	50,00	0,00	50,00	2025-01-17 00:00:00.000	122
124	29	TROCA DE VELA	80,00	1	80,00	0,00	80,00	2025-01-17 00:00:00.000	123
125	31	TROCA DO CANO DE FREIO	100,00	1	100,00	0,00	100,00	2025-01-20 00:00:00.000	125
126	31	TROCA FLEXIVEL DE FREIO	40,00	1	40,00	0,00	40,00	2025-01-20 00:00:00.000	126
127	31	REGULAGEM DE FREIO TRAZEIRO	40,00	1	40,00	0,00	40,00	2025-01-20 00:00:00.000	127
128	32	TAMPAO DO BLOCO	150,00	1	150,00	0,00	150,00	2025-01-24 00:00:00.000	130
129	32	MÃO DE OBRA	450,00	1	450,00	0,00	450,00	2025-01-24 00:00:00.000	131
130	33	TROCA DAS PINÇAS DE FREIO	100,00	1	100,00	0,00	100,00	2025-01-28 00:00:00.000	132
131	34	TROCA SENSOR DE NIVEL	300,00	1	300,00	0,00	300,00	2025-01-28 00:00:00.000	136
132	34	ESTALACAO  DA TOMADA DA BOMBA	150,00	1	150,00	0,00	150,00	2025-01-28 00:00:00.000	137
133	34	CONCERTO DA MAÇANETA DA PORTA	80,00	1	80,00	0,00	80,00	2025-01-28 00:00:00.000	134
134	35	SERVIÇO DO MOTOR	2000,00	1	2000,00	0,00	2000,00	2025-01-31 00:00:00.000	138
135	35	TROCA PASTILHA DE FREIO E DISCO DE FREIO	120,00	1	120,00	0,00	120,00	2025-01-31 00:00:00.000	139
136	35	TROCA SAPATA DE FREIO E TAMBOR DE FREIO	200,00	1	200,00	0,00	200,00	2025-01-31 00:00:00.000	140
137	35	TROCA ROLAMENTO DA RODA	60,00	1	60,00	0,00	60,00	2025-01-31 00:00:00.000	141
138	36	ALINHAMENTO E BALANCIAMENTO- R.F	170,00	1	170,00	0,00	170,00	2025-02-11 00:00:00.000	19
139	36	CAMBAGEM	100,00	1	100,00	0,00	100,00	2025-02-11 00:00:00.000	2
140	36	TROCA DE 05 PNEUS	125,00	1	125,00	0,00	125,00	2025-02-11 00:00:00.000	142
141	37	TROCA BUCHA DA BALANÇA	250,00	1	250,00	0,00	250,00	2025-02-13 00:00:00.000	105
142	37	TROCA OLEO E TODOS OS FILTROS	150,00	1	150,00	0,00	150,00	2025-02-13 00:00:00.000	144
143	37	TROCA 02  AMORTECEDOR TRAZEIRO	160,00	1	160,00	0,00	160,00	2025-02-13 00:00:00.000	145
144	37	TROCA SAPATA DE FREIO	240,00	1	240,00	0,00	240,00	2025-02-13 00:00:00.000	15
145	37	TROCA COXIM DO MOTOR	60,00	1	60,00	0,00	60,00	2025-02-13 00:00:00.000	147
146	37	TROCA ALAVANCA FREIO DE MAO	100,00	1	100,00	0,00	100,00	2025-02-13 00:00:00.000	148
147	37	TROCA DE 03 PNEUS	80,00	1	80,00	0,00	80,00	2025-02-13 00:00:00.000	149
148	37	SERVIÇO ELETRICO 	150,00	1	150,00	0,00	150,00	2025-02-13 00:00:00.000	150
149	37	TROCA COXIM DO MOTOR SUPERIOR	80,00	1	80,00	0,00	80,00	2025-02-13 00:00:00.000	151
150	37	ALINHAMENTO E BALANCIAMENTO .	140,00	1	140,00	0,00	140,00	2025-02-13 00:00:00.000	63
151	38	TROCA OLEO E TODOS OS FILTROS	150,00	1	150,00	0,00	150,00	2025-02-25 00:00:00.000	144
152	39	ALINHAMENTO E BALANCIAMENTO- R.F	170,00	1	170,00	0,00	170,00	2025-03-06 00:00:00.000	19
153	40	TROCA DE 03 PNEUS	90,00	1	90,00	0,00	90,00	2025-03-14 00:00:00.000	149
154	40	ALINHAMENTO E BALANCIAMENTO 	160,00	1	160,00	0,00	160,00	2025-03-14 00:00:00.000	90
156	41	TROCA RETENTOR E VOLANTE DO SEMI EIXO.	450,00	1	450,00	0,00	450,00	2025-03-26 00:00:00.000	155
157	41	TROCA DA TRIZETA	100,00	1	100,00	0,00	100,00	2025-03-26 00:00:00.000	157
